INPUT,COMMON,SCIENTIFIC,QAQC,ACP,ACP_EST,BLSC,BLSC_EST,CRD,CRD_EST,WBPHS,WBPHS_EST,YKD,YKD_EST
FOX,Unidentified Fox,Vulpes sp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
FOXA,Unidentified Fox,Vulpes sp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
FOXD,Unidentified Fox,Vulpes sp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
REFO,Red Fox,Vulpes vulpes,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RFOX,Red Fox,Vulpes vulpes,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GADW,Gadwall,Mareca strepera,GADW,GADW,1,GADW,0,GADW,0,GADW,1,GADW,1
GG.N,Glaucous Gull,Larus hyperboreus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GGAD,Glaucous Gull,Larus hyperboreus,GLGU,GLGU,1,GLGU,0,GLGU,0,GLGU,0,GLGU,0
GGIM,Glaucous Gull,Larus hyperboreus,GLGU,GLGU,1,GLGU,0,GLGU,0,GLGU,0,GLGU,0
GLGU,Glaucous Gull,Larus hyperboreus,GLGU,GLGU,1,GLGU,0,GLGU,0,GLGU,0,GLGU,0
GLGUI,Glaucous Gull,Larus hyperboreus,GLGU,GLGU,1,GLGU,0,GLGU,0,GLGU,0,GLGU,0
GLGUN,Glaucous Gull,Larus hyperboreus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GULL,"Unidentified Larus Gull
",Larus spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GWGU,Glaucous-winged gull,Larus glaucescens,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
EAGL,Unidentified Eagle,Aquila or Haliaeetus spp.,UNEA,UNEA,1,UNEA,0,UNEA,0,UNEA,0,UNEA,0
GOEA,Golden Eagle,Aquila chrysaetos,GOEA,GOEA,1,GOEA,0,GOEA,0,GOEA,0,GOEA,0
GOEAN,Golden Eagle,Aquila chrysaetos,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
GONE,Golden Eagle,Aquila chrysaetos,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNEA,Unidentified Eagle,Aquila or Haliaeetus spp.,UNEA,UNEA,1,UNEA,0,UNEA,0,UNEA,0,UNEA,0
BAGO,Barrow's Goldeneye,Bucephala islandica,GOLD,GOLD,1,GOLD,0,GOLD,0,GOLD,1,GOLD,1
COGO,Common Goldeneye,Bucephala clangula,GOLD,GOLD,1,GOLD,0,GOLD,0,GOLD,1,GOLD,1
GOLD,Unidentified Goldeneye,Bucephala spp.,GOLD,GOLD,1,GOLD,0,GOLD,0,GOLD,1,GOLD,1
GOSP,Unidentified Goldeneye,Bucephala spp.,GOLD,GOLD,1,GOLD,0,GOLD,0,GOLD,1,GOLD,1
GRAJ,Canada Jay,Perisoreus canadensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HEGU,Herring Gull,Larus argentatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
UNGU,Unidentified Larus Gull,Larus spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HADU,Harlequin Duck,Histrionicus histrionicus,HADU,HADU,1,HADU,0,HADU,0,HADU,1,HADU,0
HARD,Harlequin Duck,Histrionicus histrionicus,HADU,HADU,1,HADU,0,HADU,0,HADU,1,HADU,0
HARL,Harlequin Duck,Histrionicus histrionicus,HADU,HADU,1,HADU,0,HADU,0,HADU,1,HADU,0
COHA,Cooper's Hawk,Accipiter cooperii,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
HAWK,Unidentified Hawk,Hawk spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
MAHA,Northern Harrier,Circus hudsonius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NOGO,Northern Goshawk,Accipiter gentilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
NOHA,Northern Harrier,Circus hudsonius,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
OSPN,Osprey,Pandion haliaetus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
OSPR,Osprey,Pandion haliaetus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
OSPRN,Osprey,Pandion haliaetus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RAPT,Unidentified Raptor,Raptor spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RLHA,Rough-legged Hawk,Buteo lagopus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
RTHA,Red-tailed Hawk,Buteo jamaicensis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
SSHA,Sharp-shinned Hawk,Accipiter striatus,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
JA.N,Unidentified Jaeger,Stercorarius spp.,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
JAEG,Unidentified Jaeger,Stercorarius spp.,JAEG,JAEG,1,JAEG,0,JAEG,0,JAEG,0,JAEG,1
LTJA,Long-tailed Jaeger,Stercorarius longicaudus,JAEG,JAEG,1,JAEG,0,JAEG,0,JAEG,0,JAEG,1
PAJA,Parasitic Jaeger,Stercorarius parasiticus,JAEG,JAEG,1,JAEG,0,JAEG,0,JAEG,0,JAEG,1
POJA,Pomarine Jaeger,Stercorarius pomarinus,JAEG,JAEG,1,JAEG,0,JAEG,0,JAEG,0,JAEG,1
UNJA,Unidentified Jaeger,Stercorarius spp.,JAEG,JAEG,1,JAEG,0,JAEG,0,JAEG,0,JAEG,1
KEIH,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
KEJV,King Eider,Somateria spectabilis,KIEI,KIEI,1,KIEI,0,KIEI,0,KIEI,1,KIEI,1
KIEH,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
KIEI,King Eider,Somateria spectabilis,KIEI,KIEI,1,KIEI,0,KIEI,0,KIEI,1,KIEI,1
KIEIH,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
KIEIY,King Eider,Somateria spectabilis,KIEI,KIEI,1,KIEI,0,KIEI,0,KIEI,1,KIEI,1
KIHE,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
KIUN,King Eider,Somateria spectabilis,XXXX,XXXX,0,XXXX,0,XXXX,0,XXXX,0,XXXX,0
